﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","attentionStimuli","attentionChoice","attentionCheck","mushroom1","mushroom2","mushroom3","feature","value"
"true","fullscreen","0","5482","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","78529","0.0-1.0","[{""page_index"":0,""viewing_time"":5874},{""page_index"":1,""viewing_time"":42190},{""page_index"":2,""viewing_time"":24980}]","73045","","","","","","","","","","","","",""
"","html-button-response","2","83558","0.0-2.0","","5027","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","94354","0.0-3.0","","10794","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","360749","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":15600},{""page_index"":1,""viewing_time"":7548},{""page_index"":2,""viewing_time"":62264},{""page_index"":3,""viewing_time"":24164},{""page_index"":4,""viewing_time"":7413},{""page_index"":5,""viewing_time"":138539},{""page_index"":6,""viewing_time"":10865}]","266393","","","","","","","","","","","","",""
"","survey-multi-choice","5","370674","0.0-4.0-1.0","","9923","","{""Q0"":""教游客有关他（她）的蘑菇特征的事实。"",""Q1"":""不可以，撒谎是不被允许的"",""Q2"":""不重要，游客选择什么蘑菇不重要""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","388329","0.0-4.0-2.0","","17652","","{""Q0"":""3"",""Q1"":""-3"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","402243","0.0-4.0-3.0","","13913","","{""Q0"":""2"",""Q1"":""-1"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","436273","0.0-4.0-4.0","","34027","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","454394","0.0-4.0-5.0","","18117","","{""Q0"":""0"",""Q1"":""-1"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","500478","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":5034},{""page_index"":1,""viewing_time"":2010},{""page_index"":2,""viewing_time"":3500},{""page_index"":3,""viewing_time"":3232},{""page_index"":4,""viewing_time"":9806},{""page_index"":5,""viewing_time"":17880},{""page_index"":6,""viewing_time"":4618}]","46080","","","","","","","","","","","","",""
"","survey-multi-choice","11","524110","0.0-4.1-1.1","","23631","","{""Q0"":""告诉游客有关你的蘑菇特征的事实。"",""Q1"":""不可以，撒谎是不被允许的"",""Q2"":""不重要，游客选择什么蘑菇不重要""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","12","544882","0.0-4.1-2.1","","20769","","{""Q0"":""3"",""Q1"":""-1"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
